,Prediction window [minutes],StdDev - iclabel,Brain F1 score - iclabel
0,0.15,0.05201166460355192,0.813488464796564
1,0.325,0.04194043164574957,0.8371013048997922
2,0.5,0.05043896300021875,0.855238697663046
3,0.65,0.05873165912404773,0.8450762225924412
4,0.825,0.051929814617599886,0.8494830266035106
5,1.0,0.045922327268055244,0.8593887593732502
6,2.0,0.06316232723414265,0.8548569674441698
7,3.0,0.05494236379113921,0.862207211213215
8,4.0,0.056142315283833004,0.8695153439516717
9,5.0,0.0632526243187906,0.8759291844746544
10,10.0,0.062259848293834893,0.876547165527418
11,15.0,0.056522056778336785,0.8728880062757572
12,20.0,0.058245973158207405,0.8737085790311164
13,25.0,0.057528019480176586,0.8787679234356327
14,30.0,0.05543530386277646,0.8820246284164757
15,35.0,0.05001330713753053,0.8916158367505002
16,40.0,0.05001330713753053,0.8916158367505002
17,45.0,0.05001330713753053,0.8916158367505002
18,50.0,0.046853196492374946,0.8939857976249449
