eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,None,psd_autocorr,random_forest,False,-1.0,15.0,0.8134103942811818,0.08928906178380008
cue,None,psd_autocorr,random_forest,False,-1.0,20.0,0.8196355594770988,0.09372176174402241
cue,None,psd_autocorr,random_forest,False,-1.0,25.0,0.8196355594770988,0.09372176174402241
cue,None,psd_autocorr,random_forest,False,-1.0,30.0,0.814537320994714,0.10087799146423439
cue,None,psd_autocorr,random_forest,False,-1.0,35.0,0.8162174285215956,0.09754720599009359
cue,None,psd_autocorr,random_forest,False,-1.0,40.0,0.8239185370359384,0.09294699387727198
cue,None,psd_autocorr,random_forest,False,-1.0,45.0,0.8299206605512907,0.08790136575039234
cue,None,psd_autocorr,random_forest,False,-1.0,50.0,0.8315981497287798,0.08897802498287762
cue,None,psd_autocorr,random_forest,False,300.0,0.15,0.6448381380524237,0.1214830403649826
cue,None,psd_autocorr,random_forest,False,300.0,0.325,0.672732160175102,0.10106219776743798
cue,None,psd_autocorr,random_forest,False,300.0,0.5,0.6788646659446366,0.12063882962158787
cue,None,psd_autocorr,random_forest,False,300.0,0.65,0.7006362192815394,0.11457062030517806
cue,None,psd_autocorr,random_forest,False,300.0,0.825,0.7017352460593469,0.12690929924473782
cue,None,psd_autocorr,random_forest,False,300.0,1.0,0.6898595752906097,0.12175474647897856
cue,None,psd_autocorr,random_forest,False,300.0,2.0,0.7249548869111017,0.12345162962834359
cue,None,psd_autocorr,random_forest,False,300.0,3.0,0.7517405820537261,0.11397468776493526
cue,None,psd_autocorr,random_forest,False,300.0,4.0,0.7527813840427987,0.10257476527648542
cue,None,psd_autocorr,random_forest,False,300.0,5.0,0.7705064404176426,0.08695593162144
cue,None,psd_autocorr,random_forest,False,300.0,10.0,0.7844757230786642,0.09949280793991308
cue,None,psd_autocorr,random_forest,False,300.0,15.0,0.7863604120243303,0.09775472832218973
cue,None,psd_autocorr,random_forest,False,300.0,20.0,0.800236401286436,0.09760470890781323
cue,None,psd_autocorr,random_forest,False,300.0,25.0,0.8058033512969303,0.09658437793354505
cue,None,psd_autocorr,random_forest,False,300.0,30.0,0.8096007565311171,0.08964020136422006
cue,None,psd_autocorr,random_forest,False,300.0,35.0,0.8117021170719753,0.09359867037678364
cue,None,psd_autocorr,random_forest,False,300.0,40.0,0.811383153364074,0.09505395463012031
cue,None,psd_autocorr,random_forest,False,300.0,45.0,0.8183575546129718,0.09460318791935945
cue,None,psd_autocorr,random_forest,False,300.0,50.0,0.8109419075977699,0.10662113027454205
cue,None,bowav,logistic,False,-1.0,5.0,0.7510254882665836,0.09247706811390487
cue,None,bowav,logistic,False,-1.0,10.0,0.827885014876223,0.09242659614507788
cue,None,bowav,logistic,False,-1.0,15.0,0.8299132000210608,0.0994160520415741
cue,None,bowav,logistic,False,-1.0,20.0,0.8240716837198284,0.1058781094529549
cue,None,bowav,logistic,False,-1.0,25.0,0.8127231928884228,0.10200478825582349
cue,None,bowav,logistic,False,-1.0,30.0,0.8297621744558019,0.10244647392546395
cue,None,bowav,logistic,False,-1.0,35.0,0.8415141951895322,0.07605350503373691
cue,None,bowav,logistic,False,-1.0,40.0,0.8352829600268454,0.1021077031961215
cue,None,bowav,logistic,False,-1.0,45.0,0.8427098901783588,0.09497922472923717
cue,None,bowav,logistic,False,-1.0,50.0,0.8469663540839772,0.09975129243963987
cue,None,bowav,logistic,False,300.0,0.15,0.7931555732515077,0.10773594003630012
cue,None,bowav,logistic,False,300.0,0.325,0.8290473273825558,0.09217208640332715
cue,None,bowav,logistic,False,300.0,0.5,0.8207162792130518,0.11738964540885873
cue,None,bowav,logistic,False,300.0,0.65,0.8247361797385043,0.10952897326033478
cue,None,bowav,logistic,False,300.0,0.825,0.8295631466252328,0.09266964605923171
cue,None,bowav,logistic,False,300.0,1.0,0.8353183971123622,0.10132025017417481
cue,None,bowav,logistic,False,300.0,2.0,0.8466725752892913,0.06962585523899152
cue,None,bowav,logistic,False,300.0,3.0,0.8615924274340525,0.07648944976295541
cue,None,bowav,logistic,False,300.0,4.0,0.870047043104062,0.05552354744753545
cue,None,bowav,logistic,False,300.0,5.0,0.8745515061702184,0.041803930334478955
cue,None,bowav,logistic,False,300.0,10.0,0.8786699839547577,0.05676744243768964
cue,None,bowav,logistic,False,300.0,15.0,0.8757823168561666,0.07136257689372531
cue,None,bowav,logistic,False,300.0,20.0,0.869533746943937,0.07986415784169122
cue,None,bowav,logistic,False,300.0,25.0,0.8708569032038357,0.08304411957402331
cue,None,bowav,logistic,False,300.0,30.0,0.8780837824084456,0.08008531865058523
cue,None,bowav,logistic,False,300.0,35.0,0.8821285835931633,0.07358112126544822
cue,None,bowav,logistic,False,300.0,40.0,0.8795153431750448,0.08033122189152549
cue,None,bowav,logistic,False,300.0,45.0,0.8849498549298098,0.07717630546967257
cue,None,bowav,logistic,False,300.0,50.0,0.8835182941632107,0.07703057420008516
cue,None,psd_autocorr,logistic,False,-1.0,2.0,0.5900068354496051,0.2196181646284113
cue,None,psd_autocorr,logistic,False,-1.0,3.0,0.5900068354496051,0.2196181646284113
cue,None,psd_autocorr,logistic,False,-1.0,4.0,0.6507171089779785,0.17628087843702403
cue,None,psd_autocorr,logistic,False,-1.0,5.0,0.6507171089779785,0.1724061002471168
cue,None,psd_autocorr,logistic,False,-1.0,10.0,0.6418656594536511,0.2066237634877047
cue,None,psd_autocorr,logistic,False,-1.0,15.0,0.6556172068293499,0.16904782793390025
cue,None,psd_autocorr,logistic,False,-1.0,20.0,0.679244164911322,0.1616482410825939
cue,None,psd_autocorr,logistic,False,-1.0,25.0,0.6766549572046027,0.1664398045061993
