eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,normed-barycenter,bowav,random_forest,True,-1,40.0,0.8606580626530018,0.08400870023791977
cue,normed-barycenter,bowav,random_forest,True,-1,45.0,0.8556460501390847,0.08104423039066072
cue,normed-barycenter,bowav,random_forest,True,-1,50.0,0.8567659256446564,0.08371343812581648
cue,normed-barycenter,psd_autocorr,random_forest,True,300,0.15,0.5843945960859461,0.18307792386447203
cue,normed-barycenter,psd_autocorr,random_forest,True,300,0.325,0.6228587793998492,0.16465138807682683
cue,normed-barycenter,psd_autocorr,random_forest,True,300,0.5,0.6529317735286927,0.17362476393186424
cue,normed-barycenter,psd_autocorr,random_forest,True,300,0.65,0.6697272922788183,0.14930404980807663
cue,normed-barycenter,psd_autocorr,random_forest,True,300,0.825,0.6967000947365604,0.13790999368337714
cue,normed-barycenter,psd_autocorr,random_forest,True,300,1.0,0.6914525139397805,0.1465902705124186
cue,normed-barycenter,psd_autocorr,random_forest,True,300,2.0,0.7335690931469033,0.12026525915077373
cue,normed-barycenter,psd_autocorr,random_forest,True,300,3.0,0.7392538116542399,0.10086151813947504
cue,normed-barycenter,psd_autocorr,random_forest,True,300,4.0,0.756747136608977,0.1083856458856187
cue,normed-barycenter,psd_autocorr,random_forest,True,300,5.0,0.7631710268310292,0.10222739367651416
cue,normed-barycenter,psd_autocorr,random_forest,True,300,10.0,0.8005386561741061,0.08189354459692012
cue,normed-barycenter,psd_autocorr,random_forest,True,300,15.0,0.8175542680577289,0.06306867459775106
cue,normed-barycenter,psd_autocorr,random_forest,True,300,20.0,0.8239766175501132,0.058122271778465635
cue,normed-barycenter,psd_autocorr,random_forest,True,300,25.0,0.8295985870265717,0.059891418442661146
cue,normed-barycenter,psd_autocorr,random_forest,True,300,30.0,0.8374259126724476,0.05418171520990217
cue,normed-barycenter,psd_autocorr,random_forest,True,300,35.0,0.829313845974699,0.06902017957465487
cue,normed-barycenter,psd_autocorr,random_forest,True,300,40.0,0.822294851920153,0.07924664957959246
cue,normed-barycenter,psd_autocorr,random_forest,True,300,45.0,0.8401610682036419,0.06997645940799296
cue,normed-barycenter,psd_autocorr,random_forest,True,300,50.0,0.8344197399170185,0.0808423289881373
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,1.0,0.6914525139397805,0.1465902705124186
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,2.0,0.751752639828822,0.08972511332384535
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,3.0,0.7188937309379105,0.10763573686956589
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,4.0,0.7456055665367892,0.09560883649912286
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,5.0,0.7304431899960803,0.09919072100248665
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,10.0,0.7798824381161995,0.09174681483755796
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,15.0,0.77957401197444,0.094180979508684
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,20.0,0.784670177576785,0.09683949076361749
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,25.0,0.7800357114331726,0.0930368835579686
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,30.0,0.7934974796231358,0.09274767657468654
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,35.0,0.7852383121067877,0.09514368470335668
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,40.0,0.7992937011622662,0.08919124460808826
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,45.0,0.8032123419532603,0.08752375770476341
cue,normed-barycenter,psd_autocorr,random_forest,True,-1,50.0,0.8053100413891326,0.08776972134393608
emotion_study,normed-barycenter,bowav,random_forest,True,300,0.15,0.7438813829964676,0.08569372771869553
emotion_study,normed-barycenter,bowav,random_forest,True,300,0.325,0.7986994213426005,0.09863497243480426
emotion_study,normed-barycenter,bowav,random_forest,True,300,0.5,0.7999173884048802,0.11621425899266932
emotion_study,normed-barycenter,bowav,random_forest,True,300,0.65,0.8159663589888245,0.12269617729614567
emotion_study,normed-barycenter,bowav,random_forest,True,300,0.825,0.8216352864625325,0.11823210610364904
emotion_study,normed-barycenter,bowav,random_forest,True,300,1.0,0.8281219885946196,0.11047162901302525
emotion_study,normed-barycenter,bowav,random_forest,True,300,2.0,0.8615963580554172,0.08700886271157798
emotion_study,normed-barycenter,bowav,random_forest,True,300,3.0,0.8428564017751384,0.10301337274478599
emotion_study,normed-barycenter,bowav,random_forest,True,300,4.0,0.8516706559050703,0.10724387451262003
emotion_study,normed-barycenter,bowav,random_forest,True,300,5.0,0.8482726166399636,0.08654810112532411
emotion_study,normed-barycenter,bowav,random_forest,True,300,10.0,0.8543506308070455,0.07250340407421581
emotion_study,normed-barycenter,bowav,random_forest,True,300,15.0,0.8629931173409434,0.06458915195549743
emotion_study,normed-barycenter,bowav,random_forest,True,300,20.0,0.8690568645684781,0.05415110823587993
emotion_study,normed-barycenter,bowav,random_forest,True,300,25.0,0.873652106389701,0.04957285585728399
emotion_study,normed-barycenter,bowav,random_forest,True,300,30.0,0.8740372029570634,0.05689282415209876
emotion_study,normed-barycenter,bowav,random_forest,True,300,35.0,0.8965557262331456,0.06608258307254847
emotion_study,normed-barycenter,bowav,random_forest,True,300,40.0,0.8785116191365488,0.08162749031150639
emotion_study,normed-barycenter,bowav,random_forest,True,300,45.0,0.8873855144557009,0.07069175213328956
emotion_study,normed-barycenter,bowav,random_forest,True,300,50.0,0.8808588432948834,0.0636226193292033
