Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8620689655172413,389
0.15,2,0.7391304347826088,389
0.15,3,0.8372093023255813,389
0.15,4,0.7391304347826086,389
0.15,5,0.8301886792452831,389
0.15,6,0.8679245283018867,389
0.15,7,0.8771929824561403,389
0.15,8,0.7111111111111111,389
0.15,9,0.7441860465116279,389
0.15,10,0.8749999999999999,389
0.15,11,0.967741935483871,389
0.15,12,0.6486486486486487,389
0.325,1,0.9152542372881356,389
0.325,2,0.7234042553191489,389
0.325,3,0.923076923076923,389
0.325,4,0.7555555555555554,389
0.325,5,0.8461538461538461,389
0.325,6,0.9019607843137256,389
0.325,7,0.9090909090909091,389
0.325,8,0.761904761904762,389
0.325,9,0.7317073170731707,389
0.325,10,0.8709677419354839,389
0.325,11,0.9508196721311476,389
0.325,12,0.7058823529411764,389
0.5,1,0.9152542372881356,389
0.5,2,0.7441860465116279,389
0.5,3,0.972972972972973,389
0.5,4,0.7727272727272727,389
0.5,5,0.8301886792452831,389
0.5,6,0.8846153846153847,389
0.5,7,0.9090909090909091,389
0.5,8,0.8,389
0.5,9,0.7317073170731707,389
0.5,10,0.8709677419354839,389
0.5,11,0.9333333333333333,389
0.5,12,0.6874999999999999,389
0.65,1,0.896551724137931,389
0.65,2,0.8292682926829269,389
0.65,3,0.9473684210526316,389
0.65,4,0.7906976744186047,389
0.65,5,0.8301886792452831,389
0.65,6,0.9387755102040817,389
0.65,7,0.9090909090909091,389
0.65,8,0.8,389
0.65,9,0.717948717948718,389
0.65,10,0.888888888888889,389
0.65,11,0.9333333333333333,389
0.65,12,0.7333333333333334,389
0.825,1,0.896551724137931,389
0.825,2,0.8095238095238096,389
0.825,3,0.923076923076923,389
0.825,4,0.7727272727272727,389
0.825,5,0.8301886792452831,389
0.825,6,0.9199999999999999,389
0.825,7,0.9090909090909091,389
0.825,8,0.8421052631578948,389
0.825,9,0.75,389
0.825,10,0.8749999999999999,389
0.825,11,0.9333333333333333,389
0.825,12,0.7857142857142857,389
1.0,1,0.8928571428571429,389
1.0,2,0.761904761904762,389
1.0,3,0.9,389
1.0,4,0.7619047619047621,389
1.0,5,0.8461538461538461,389
1.0,6,0.9387755102040817,389
1.0,7,0.9259259259259259,389
1.0,8,0.8205128205128205,389
1.0,9,0.75,389
1.0,10,0.888888888888889,389
1.0,11,0.9333333333333333,389
1.0,12,0.7857142857142857,389
2.0,1,0.8928571428571429,389
2.0,2,0.7499999999999999,389
2.0,3,0.923076923076923,389
2.0,4,0.8095238095238095,389
2.0,5,0.8979591836734695,389
2.0,6,0.8799999999999999,389
2.0,7,0.9259259259259259,389
2.0,8,0.888888888888889,389
2.0,9,0.7317073170731707,389
2.0,10,0.8923076923076922,389
2.0,11,0.896551724137931,389
2.0,12,0.888888888888889,389
3.0,1,0.912280701754386,389
3.0,2,0.8181818181818181,389
3.0,3,0.878048780487805,389
3.0,4,0.7619047619047621,389
3.0,5,0.8800000000000001,389
3.0,6,0.9056603773584906,389
3.0,7,0.9259259259259259,389
3.0,8,0.9142857142857143,389
3.0,9,0.7000000000000001,389
3.0,10,0.9411764705882353,389
3.0,11,0.9333333333333333,389
3.0,12,0.8148148148148148,389
4.0,1,0.912280701754386,389
4.0,2,0.8571428571428571,389
4.0,3,0.878048780487805,389
4.0,4,0.7906976744186047,389
4.0,5,0.8800000000000001,389
4.0,6,0.9056603773584906,389
4.0,7,0.9433962264150945,389
4.0,8,0.9142857142857143,389
4.0,9,0.7692307692307693,389
4.0,10,0.9411764705882353,389
4.0,11,0.9333333333333333,389
4.0,12,0.8148148148148148,389
5.0,1,0.9310344827586207,389
5.0,2,0.8372093023255813,389
5.0,3,0.878048780487805,389
5.0,4,0.8292682926829268,389
5.0,5,0.8800000000000001,389
5.0,6,0.8846153846153847,389
5.0,7,0.9259259259259259,389
5.0,8,0.8571428571428572,389
5.0,9,0.7777777777777777,389
5.0,10,0.9565217391304348,389
5.0,11,0.9333333333333333,389
5.0,12,0.8275862068965517,389
5.0,1,0.9310344827586207,389
5.0,2,0.8372093023255813,389
5.0,3,0.878048780487805,389
5.0,4,0.8292682926829268,389
5.0,5,0.8800000000000001,389
5.0,6,0.8846153846153847,389
5.0,7,0.9259259259259259,389
5.0,8,0.8571428571428572,389
5.0,9,0.7777777777777777,389
5.0,10,0.9565217391304348,389
5.0,11,0.9333333333333333,389
5.0,12,0.8275862068965517,389
10.0,1,0.9310344827586207,389
10.0,2,0.8372093023255813,389
10.0,3,0.8571428571428571,389
10.0,4,0.8292682926829268,389
10.0,5,0.8800000000000001,389
10.0,6,0.888888888888889,389
10.0,7,0.9090909090909091,389
10.0,8,0.8571428571428572,389
10.0,9,0.7368421052631579,389
10.0,10,0.9714285714285714,389
10.0,11,0.9508196721311476,389
10.0,12,0.7741935483870968,389
15.0,1,0.9310344827586207,389
15.0,2,0.8,389
15.0,3,0.8181818181818181,389
15.0,4,0.8292682926829268,389
15.0,5,0.8800000000000001,389
15.0,6,0.8727272727272727,389
15.0,7,0.9433962264150945,389
15.0,8,0.8571428571428572,389
15.0,9,0.6829268292682927,389
15.0,10,0.9714285714285714,389
15.0,11,0.9508196721311476,389
15.0,12,0.7741935483870968,389
20.0,1,0.9310344827586207,389
20.0,2,0.8181818181818181,389
20.0,3,0.782608695652174,389
20.0,4,0.8292682926829268,389
20.0,5,0.9166666666666666,389
20.0,6,0.888888888888889,389
20.0,7,0.9259259259259259,389
20.0,8,0.7777777777777777,389
20.0,9,0.6829268292682927,389
20.0,10,0.9577464788732395,389
20.0,11,0.9333333333333333,389
20.0,12,0.7499999999999999,389
25.0,1,0.9180327868852458,389
25.0,2,0.8,389
25.0,3,0.782608695652174,389
25.0,4,0.85,389
25.0,5,0.8461538461538461,389
25.0,6,0.8727272727272727,389
25.0,7,0.9259259259259259,389
25.0,8,0.8,389
25.0,9,0.6976744186046512,389
25.0,10,0.9577464788732395,389
25.0,11,0.9508196721311476,389
25.0,12,0.7741935483870968,389
30.0,1,0.9180327868852458,389
30.0,2,0.8181818181818181,389
30.0,3,0.7659574468085107,389
30.0,4,0.85,389
30.0,5,0.8627450980392156,389
30.0,6,0.8571428571428571,389
30.0,7,0.9259259259259259,389
30.0,8,0.7804878048780487,389
30.0,9,0.6976744186046512,389
30.0,10,0.9577464788732395,389
30.0,11,0.9508196721311476,389
30.0,12,0.7499999999999999,389
35.0,1,0.9152542372881356,389
35.0,2,0.8181818181818181,389
35.0,3,0.782608695652174,389
35.0,4,0.85,389
35.0,5,0.8461538461538461,389
35.0,6,0.8727272727272727,389
35.0,7,0.9433962264150945,389
35.0,8,0.7142857142857143,389
35.0,9,0.6976744186046512,389
35.0,10,0.9577464788732395,389
35.0,11,0.9508196721311476,389
35.0,12,0.8,389
40.0,1,0.9333333333333333,389
40.0,2,0.782608695652174,389
40.0,3,0.7659574468085107,389
40.0,4,0.85,389
40.0,5,0.8627450980392156,389
40.0,6,0.8727272727272727,389
40.0,7,0.9433962264150945,389
40.0,8,0.7804878048780487,389
40.0,9,0.6976744186046512,389
40.0,10,0.9714285714285714,389
40.0,11,0.967741935483871,389
40.0,12,0.8,389
45.0,1,0.9333333333333333,389
45.0,2,0.7659574468085107,389
45.0,3,0.782608695652174,389
45.0,4,0.85,389
45.0,5,0.8627450980392156,389
45.0,6,0.8727272727272727,389
45.0,7,0.9090909090909091,389
45.0,8,0.761904761904762,389
45.0,9,0.6976744186046512,389
45.0,10,0.9714285714285714,389
45.0,11,0.9508196721311476,389
45.0,12,0.8,389
50.0,1,0.9333333333333333,389
50.0,2,0.782608695652174,389
50.0,3,0.782608695652174,389
50.0,4,0.85,389
50.0,5,0.8461538461538461,389
50.0,6,0.8727272727272727,389
50.0,7,0.9259259259259259,389
